exchange,board,security_type,code,name,listing_date,source_url,source_row_json,board_basis
SZSE,MAIN,A_SHARE,000001,平安银行,1991-04-03,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000001"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000001' target='_blank'><u>平安银行</u></a>"", ""agltgb"": ""194.05"", ""agssrq"": ""1991-04-03"", ""agzgb"": ""194.05"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""J 金融业"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000002,万 科Ａ,1991-01-29,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000002"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000002' target='_blank'><u>万  科Ａ</u></a>"", ""agltgb"": ""97.16"", ""agssrq"": ""1991-01-29"", ""agzgb"": ""97.24"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""K 房地产"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000006,深振业Ａ,1992-04-27,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000006"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000006' target='_blank'><u>深振业Ａ</u></a>"", ""agltgb"": ""13.49"", ""agssrq"": ""1992-04-27"", ""agzgb"": ""13.49"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""K 房地产"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000007,全新好,1992-04-13,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000007"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000007' target='_blank'><u>全新好</u></a>"", ""agltgb"": ""3.46"", ""agssrq"": ""1992-04-13"", ""agzgb"": ""3.46"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""K 房地产"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000008,神州高铁,1992-05-07,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000008"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000008' target='_blank'><u>神州高铁</u></a>"", ""agltgb"": ""27.16"", ""agssrq"": ""1992-05-07"", ""agzgb"": ""27.16"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""C 制造业"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000009,中国宝安,1991-06-25,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000009"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000009' target='_blank'><u>中国宝安</u></a>"", ""agltgb"": ""25.76"", ""agssrq"": ""1991-06-25"", ""agzgb"": ""25.79"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""J 金融业"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000010,*ST美丽,1995-10-27,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000010"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000010' target='_blank'><u>*ST美丽</u></a>"", ""agltgb"": ""8.73"", ""agssrq"": ""1995-10-27"", ""agzgb"": ""11.49"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""E 建筑业"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000011,深物业A,1992-03-30,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000011"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000011' target='_blank'><u>深物业A</u></a>"", ""agltgb"": ""5.26"", ""agssrq"": ""1992-03-30"", ""agzgb"": ""5.28"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""K 房地产"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000012,南 玻Ａ,1992-02-28,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000012"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000012' target='_blank'><u>南  玻Ａ</u></a>"", ""agltgb"": ""19.59"", ""agssrq"": ""1992-02-28"", ""agzgb"": ""19.61"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""C 制造业"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000014,沙河股份,1992-06-02,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000014"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000014' target='_blank'><u>沙河股份</u></a>"", ""agltgb"": ""2.42"", ""agssrq"": ""1992-06-02"", ""agzgb"": ""2.42"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""K 房地产"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000016,*ST康佳A,1992-03-27,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000016"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000016' target='_blank'><u>*ST康佳A</u></a>"", ""agltgb"": ""15.96"", ""agssrq"": ""1992-03-27"", ""agzgb"": ""15.96"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""C 制造业"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000017,深中华A,1992-03-31,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000017"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000017' target='_blank'><u>深中华A</u></a>"", ""agltgb"": ""4.40"", ""agssrq"": ""1992-03-31"", ""agzgb"": ""4.40"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""C 制造业"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000019,深粮控股,1992-10-12,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000019"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000019' target='_blank'><u>深粮控股</u></a>"", ""agltgb"": ""4.16"", ""agssrq"": ""1992-10-12"", ""agzgb"": ""11.00"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""F 批发零售"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000020,深华发Ａ,1992-04-28,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000020"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000020' target='_blank'><u>深华发Ａ</u></a>"", ""agltgb"": ""1.81"", ""agssrq"": ""1992-04-28"", ""agzgb"": ""1.81"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""C 制造业"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000021,深科技,1994-02-02,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000021"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000021' target='_blank'><u>深科技</u></a>"", ""agltgb"": ""15.84"", ""agssrq"": ""1994-02-02"", ""agzgb"": ""15.84"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""C 制造业"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000025,特 力Ａ,1993-06-21,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000025"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000025' target='_blank'><u>特  力Ａ</u></a>"", ""agltgb"": ""3.92"", ""agssrq"": ""1993-06-21"", ""agzgb"": ""3.92"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""F 批发零售"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
